,Data Year,ID,Property Name,Address,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude
1981,2020,251777,Catholic Charities Tolton Manor,6345 S Stewart,2.0,False,ENGLEWOOD,Multifamily Housing,78167.0,1995.0,1326084.1,5141729.3,92.5,130.2,92.5,130.2,480.1,6.9,41.77851372,-87.63461273
1982,2020,119450,"Target,  Chicago Near North (0942)",2656 N Elston Ave,3.0,False,LOGAN SQUARE,Retail Store,513257.0,1994.0,9860697.3,9464700.0,104.5,203.0,108.0,206.6,2041.7,11.0,41.92859468,-87.68498919
1983,2020,173773,,530  W DIVERSEY PKWY,1.5,False,LAKE VIEW,Multifamily Housing,50864.0,1921.0,1507261.3,3692610.0,102.2,159.2,105.7,162.3,431.4,8.5,41.92201051,-87.65461957
1985,2020,251335,Student Center,2250 N Sheffield Ave,3.0,False,LINCOLN PARK,College/University,149381.0,2001.0,7860717.4,9593057.0,116.8,214.8,121.2,219.4,1736.4,11.6,41.923282,-87.653539
1986,2020,251479,"Bridge Elementary, Norman -CPS",3800 N New England Ave,4.0,False,DUNNING,K-12 School,126934.0,1926.0,1506620.3,3621379.9,40.4,63.2,45.1,69.1,427.5,3.4,41.94967069,-87.7993905
1987,2020,251667,Fort Dearborn Elementary -CPS,9001 S Throop St,4.0,False,WASHINGTON HEIGHTS,K-12 School,83424.0,1937.0,1110781.8,4615180.2,68.6,95.4,74.1,101.1,418.5,5.0,41.730334,-87.65556
1988,2020,254061,6700 Crandon Condominium Association,6700 S Crandon Ave,1.0,False,South Shore,Multifamily Housing,82000.0,1928.0,920315.3,12064323.4,158.3,185.9,168.2,196.2,784.4,9.6,41.7626302,-87.57255
1989,2020,251215,Hilliard Homes Phase I Limited Partnership,2031 S Clark St,2.5,False,NEAR SOUTH SIDE,Multifamily Housing,287883.0,1966.0,4007895.6,12341343.9,94.0,139.1,98.5,143.2,1281.0,7.4,41.85459144,-87.62898163
1991,2020,252021,CICS St. Basil,1816 W Garfield Blvd,4.0,False,NEW CITY,K-12 School,150000.0,1956.0,1235075.8,2292899.8,61.5,102.3,65.2,106.2,314.5,5.5,41.794164,-87.67006603
1992,2020,130379,,444 N WABASH AVE,4.0,False,NEAR NORTH SIDE,Office,57400.0,1937.0,1719160.1,1078223.4,48.7,103.6,51.0,106.0,325.6,5.7,41.89014125,-87.62668588
1993,2020,251297,Presence St Elizabeth Professional Office Building,1431 N Western Ave,1.0,False,WEST TOWN,Medical Office,71110.0,1991.0,3866879.8,6431871.0,144.8,247.2,151.0,253.1,945.1,13.3,41.907693,-87.687079
1994,2020,242643,(IL296) - 1400 Museum Park Condo,100 E 14th St,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,645473.0,2008.0,11721374.2,9670043.1,39.6,79.6,39.6,79.5,2343.0,4.3,41.86449617,-87.62369303
1995,2020,159810,Kenmore Plaza Tenant Association,5225 N Kenmore Ave,4.0,False,EDGEWATER,Multifamily Housing,269311.0,1974.0,4702353.7,11452314.5,60.0,93.5,62.1,96.0,1342.2,5.0,41.97711174,-87.65609495
1996,2020,256819,,100 South State Street,3.0,False,,Office,68847.0,1910.0,2491928.0,55108.5,35.4,97.7,35.4,97.8,391.8,5.4,41.88425,-87.63245
1997,2020,241007,ParkView at River East Condominium Association,505 N McClurg Ct,3.5,False,NEAR NORTH SIDE,Multifamily Housing,746661.0,2005.0,14106313.5,22958762.9,56.6,97.1,59.5,100.8,3421.0,5.2,41.89146088,-87.61724276
1998,2020,250061,Woodson Regional Library,9525 S Halsted St,1.0,False,WASHINGTON HEIGHTS,Library,65000.0,1975.0,5940568.6,1781486.9,118.8,284.7,119.9,284.3,1021.8,15.7,41.7210264,-87.64309367
1999,2020,116644,,60  E 36TH PL,1.0,False,DOUGLAS,Multifamily Housing,93310.0,1984.0,6268031.5,1630400.0,84.6,206.4,84.9,206.7,1064.8,11.4,41.82021138,-87.61246867
2000,2020,251605,Fulton Elementary -CPS,5300 S Hermitage Ave,3.0,False,NEW CITY,K-12 School,96598.0,1894.0,2116796.6,4990739.9,73.6,115.6,79.1,122.0,595.4,6.2,41.79731177,-87.66870733
2001,2020,251373,"Mitchell, Ellen -CPS",2233 W Ohio St,4.0,False,WEST TOWN,K-12 School,56385.0,1892.0,700495.0,3273959.8,70.5,95.8,75.3,100.8,283.2,5.0,41.89196664,-87.68318157
2002,2020,101368,Addison Mall,2901 W ADDISON ST,4.0,False,AVONDALE,Strip Mall,68831.0,1988.0,3278430.7,4478900.7,112.7,201.7,118.9,208.2,749.6,10.9,41.94525218,-87.7010892
2004,2020,101718,Three First National Plaza,70 W Madison St,4.0,False,LOOP,Office,1636819.0,1981.0,66300331.7,312624.7,41.6,116.1,43.0,120.1,10364.1,6.5,41.88229695,-87.630198
2005,2020,252292,Hollywood House,5700 N Sheridan Rd,1.0,False,EDGEWATER,Multifamily Housing,150463.0,1946.0,5161390.4,9152920.8,95.1,159.9,99.2,162.4,1291.7,8.6,41.98584983,-87.65524764
2006,2020,210090,,600 618 S WABASH AVE,1.0,False,LOOP,Residence Hall/Dormitory,95466.0,2005.0,12771429.9,,133.8,374.6,132.5,371.0,1993.2,20.9,41.87382535,-87.62659474
2008,2020,101981,,4724 4730 S WOODLAWN AVE,3.0,False,KENWOOD,Multifamily Housing,58167.0,1925.0,767239.3,4939600.2,98.1,126.1,102.9,130.4,382.1,6.6,41.80224043,-87.60332678
2009,2020,102408,Mundelein Center,1020 W Sheridan Rd,4.0,False,ROGERS PARK,College/University,206160.0,1930.0,6369057.9,12722572.7,92.6,151.3,101.6,160.8,1669.8,8.1,41.99829028,-87.65676288
2010,2020,173615,Five North Wabash,1 5 N WABASH AVE,4.0,False,LOOP,Multifamily Housing,170184.0,1910.0,2763047.8,4704004.9,43.9,74.5,46.2,77.1,681.1,4.0,41.88319223,-87.62868858
2012,2020,103698,22 W Washington St,22 W Washington St,3.5,False,LOOP,Office,496607.0,2008.0,45805151.8,,97.2,272.1,97.4,272.7,7148.8,15.2,41.88356258,-87.62879915
2013,2020,251591,Chopin Elementary -CPS,2450 W Rice St,2.5,False,WEST TOWN,K-12 School,96895.0,1917.0,1304722.8,8914260.1,105.5,134.3,114.6,143.9,677.1,7.0,41.8971019,-87.68854703
2014,2020,105768,,4750  N CLARENDON AVE,1.0,False,UPTOWN,Multifamily Housing,56098.0,1959.0,1277463.0,5425200.1,131.7,182.2,139.6,190.5,487.5,9.6,41.97223008,-87.6645957
2015,2020,144572,,5301 5331 S KIMBARK AVE,1.5,False,HYDE PARK,Multifamily Housing,59904.0,1960.0,115114.1,6338570.3,107.7,116.5,107.8,116.6,354.6,5.9,41.80224043,-87.60332678
2016,2020,173907,Hampton House,1715 1733 E 53RD ST,3.5,False,HYDE PARK,Multifamily Housing,176450.0,1918.0,1830630.1,13284050.5,85.7,108.1,90.8,113.0,991.3,5.6,41.80224043,-87.60332678
2017,2020,101954,Garland Building,111 N Wabash Ave,2.5,False,LOOP,Office,259000.0,1914.0,14051291.4,15493629.9,114.1,214.7,118.6,219.4,3015.9,11.6,41.88357029,-87.62621336
2019,2020,252052,Ryerson Laboratory/ Eckhart Hall,1118 1132 E 58th St,4.0,False,HYDE PARK,Laboratory,61716.0,1894.0,1391365.4,,58.8,103.5,61.4,106.7,389.1,5.7,41.789628,-87.597133
2024,2020,103643,180 N LaSalle St,180 N LaSalle St,4.0,False,LOOP,Office,859786.0,1972.0,20415344.1,23641640.4,66.3,109.1,68.2,111.1,5125.2,6.0,41.88538772,-87.63289117
2025,2020,251573,Hamline Elementary-CPS,4747 S Bishop St,2.5,False,NEW CITY,K-12 School,79511.0,1898.0,2537170.0,3661390.1,78.0,137.7,81.0,139.9,590.4,7.4,41.80758029,-87.66091897
2026,2020,156406,,17 23 N WABASH AVE,4.0,False,LOOP,Office,70680.0,1900.0,2432858.3,3448385.9,83.2,147.6,83.2,147.6,562.9,8.0,41.88267337,-87.62617421
