,Data Year,ID,Property Name,Address,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude
5845,2018,157997,ARC at Old Colony,37 West Van Buren St.,1.0,False,LOOP,Multifamily Housing,198848.0,1893.0,7739006.3,11570226.7,97.1,170.1,97.4,170.4,1902.0,9.6,41.88980526,-87.62932907
5852,2018,146958,2607 Milwaukee LLC,"2625-27 N Kedzie, 3142-50 W Logan, 2601-07 N Milwaukee",4.0,False,LOGAN SQUARE,Multifamily Housing,50000.0,1920.0,57293.7,398.5,1.2,3.2,1.2,3.2,9.6,0.2,41.92075046,-87.70152825
5857,2018,118831,10725-Bucktown,2140 N. Elston Ave,4.0,False,LOGAN SQUARE,Retail Store,130345.0,2005.0,4027156.3,325900.0,33.4,89.1,33.2,88.7,687.3,5.3,41.92048214,-87.67180668
5859,2018,251899,Shields Main-CPS,4250 S ROCKWELL ST,1.5,False,BRIGHTON PARK,K-12 School,128230.0,1902.0,3762197.4,7025724.9,84.1,139.7,81.8,137.2,999.1,7.8,41.81616259,-87.69017351
5864,2018,252082,Intrinsic School - Belmont Campus,4540 W Belmont Avenue,1.0,False,IRVING PARK,K-12 School,57779.0,2014.0,3872705.3,1352559.3,90.4,212.3,92.1,215.6,716.1,12.4,41.93961331,-87.74100751
5872,2018,173818,"3838 North Broadway, LLC",3838 N. Broadway St.,2.5,False,LAKE VIEW,Multifamily Housing,70680.0,1928.0,3450023.3,2476045.6,83.8,173.5,83.8,173.5,705.5,10.0,41.95402016,-87.6620278
5876,2018,242901,Alcott and Bryant,1455-1460 North Sandburg,4.0,False,NEAR NORTH SIDE,Multifamily Housing,781512.0,1962.0,7387150.6,47517410.9,70.3,90.3,70.8,89.9,3752.8,4.8,41.9088576,-87.63195257
5879,2018,124139,Fullerton Court Apartments,2303 N. Clybourn,1.0,False,LINCOLN PARK,Multifamily Housing,141982.0,1981.0,11112280.1,5449472.3,116.6,259.4,113.3,252.4,2138.1,15.1,41.92201051,-87.65461957
5890,2018,173883,1029-51 W North Shore LLC,1029-51 W. North Shore Ave.,1.0,False,ROGERS PARK,Multifamily Housing,65620.0,1924.0,1193987.4,7258231.9,128.8,167.1,131.8,170.2,584.2,8.9,42.01036185,-87.66829765
5897,2018,105067,1033 W Loyola,1033 W Loyola Ave,4.0,False,ROGERS PARK,Multifamily Housing,91600.0,1932.0,971668.7,5283831.1,68.3,90.3,,,442.3,4.8,42.01036185,-87.66829765
5899,2018,251567,PershingWest-CPS,3200 S CALUMET AVE,2.5,False,DOUGLAS,K-12 School,128716.0,1990.0,2365136.3,7670897.4,78.0,114.0,75.8,111.8,800.9,6.2,41.83649153,-87.61819083
5900,2018,159302,Montclare Senior Residences Phase I and Montclare Senior Residences Phase II,6640-6650 W. Belden Ave.,3.5,False,MONTCLARE,Multifamily Housing,294290.0,2004.0,6072933.5,17434640.4,79.9,120.0,82.1,122.3,1936.4,6.6,41.92089131,-87.79110941
5906,2018,175658,(IL594) - Bronzeville Lofts,50 E. 26th St.,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,93260.0,1910.0,1347606.9,2835453.5,44.9,72.4,43.7,71.0,374.8,4.0,41.84550365,-87.63055693
5907,2018,102362,"Ravenswood Associates, LLC",1945 W. Wilson Ave.,2.5,False,LINCOLN SQUARE,Office,68000.0,1978.0,2849043.9,2882341.8,84.3,161.8,85.0,162.5,627.1,9.2,41.96509261,-87.67778064
5909,2018,175059,436-446 W. Diversey Pkwy.,430 W. Diversey,1.0,False,LAKE VIEW,Multifamily Housing,68271.0,1908.0,2147673.2,3603722.5,84.2,143.5,84.0,141.4,548.7,8.0,41.92201051,-87.65461957
5910,2018,171878,Josephinum Academy,1501 N. Oakley Blvd.,3.0,False,WEST TOWN,K-12 School,85000.0,1959.0,541808.2,6342406.1,81.0,96.2,81.6,96.8,427.0,5.0,41.90876585,-87.68434031
5915,2018,253993,(IL192) -2500 Lakeview Association,2500 N. Lakeview,2.0,False,Lincoln Park,Multifamily Housing,248335.0,1975.0,13397310.1,2514828.5,64.1,161.7,62.4,157.0,2362.4,9.5,41.9217371,-87.65392
5925,2018,244535,(IL526)-Carl Sandburg Village,1355 N. Sandburg Terrace,4.0,False,NEAR NORTH SIDE,Multifamily Housing,722318.0,1963.0,8891040.8,47890090.7,78.6,104.1,78.5,103.3,4022.8,5.6,41.90706409,-87.63190319
5928,2018,254996,Fletcher Jones,1521 W North Avenue,1.0,False,West Town,Automobile Dealership,55030.0,2015.0,4887195.3,922579.3,105.6,266.3,105.6,266.3,862.1,15.7,41.91062948,-87.66609288
5930,2018,103962,Fountainbleau CAMBRIDGE Property,2828 N. Cambridge,4.0,False,LAKE VIEW,Multifamily Housing,75300.0,1973.0,237605.3,5395259.0,74.8,84.1,76.0,85.4,326.1,4.3,41.9398511,-87.65844752
5938,2018,113587,(IL584) - 1240 Lake Shore Drive,1240 N. Lake Shore Drive,1.0,False,NEAR NORTH SIDE,Multifamily Housing,151528.0,1970.0,6188788.0,6811716.5,85.8,161.6,85.6,159.8,1391.4,9.2,41.9037528,-87.63558845
5942,2018,125013,West Chatham Plaza,122 - 160 W. 79th,4.0,False,GREATER GRAND CROSSING,Strip Mall,68200.0,1986.0,2256232.8,1747278.0,58.7,119.5,59.1,120.0,468.2,6.9,41.75195613,-87.6285633
5944,2018,251281,40 E. Oak,40 E Oak Street,3.0,False,NEAR NORTH SIDE,Multifamily Housing,154113.0,1928.0,2721765.4,15749443.8,119.9,156.8,121.1,156.8,1289.3,8.4,41.90102328,-87.62678724
5949,2018,251906,Sabin Magnet-CPS,2216 W HIRSCH ST,1.5,False,WEST TOWN,K-12 School,95219.0,1930.0,2426818.8,6585944.3,94.7,144.0,95.3,144.9,753.5,7.9,41.90740406,-87.68287819
5950,2018,105615,Surf III LLC,426 W Surf St,4.0,False,LAKE VIEW,Multifamily Housing,89650.0,1928.0,2771973.3,1470976.2,47.3,103.8,47.4,103.9,539.3,6.0,41.9398511,-87.65844752
5951,2018,156549,601 South LaSalle,601 South LaSalle Street,1.0,False,LOOP,Office,80000.0,1917.0,7517018.1,373128.1,98.6,268.0,96.2,261.6,1270.4,15.9,41.87421567,-87.63141904
5956,2018,174323,Automatic Lofts,410 S Morgan St,2.0,False,NEAR WEST SIDE,Other - Lodging/Residential,201533.0,1901.0,8401565.5,11612000.1,99.4,177.3,99.6,176.4,2016.1,10.0,41.87399385,-87.651678
5958,2018,112437,415 Condominium Association,415-421 W. Aldine Ave.,4.0,False,LAKE VIEW,Multifamily Housing,140000.0,1927.0,1652052.9,9283042.9,78.1,102.7,79.2,103.8,767.9,5.5,41.9398511,-87.65844752
5959,2018,251477,Wadsworth-CPS,6420 S UNIVERSITY AVE,4.0,False,WOODLAWN,K-12 School,125424.0,1920.0,914464.5,4507301.1,43.2,58.1,56.8,72.4,391.5,3.1,41.7784319,-87.59820292
5961,2018,244592,(IL593) - Harbor View Condo Assoc,1901 S. Calumet,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,537033.0,2009.0,11077610.7,21642133.1,60.9,100.1,58.6,96.5,2992.4,5.6,41.85622196,-87.61864082
5962,2018,172772,Manhattan Building Condominium,431 S Dearborn St,1.0,False,LOOP,Multifamily Housing,121000.0,1891.0,8242136.4,177500.0,69.6,192.3,68.1,188.1,1380.6,11.4,41.86863212,-87.62730687
5963,2018,106109,Dearborn North,1117 n Dearborn,4.0,False,NEAR NORTH SIDE,Multifamily Housing,83916.0,1929.0,1256254.0,5618068.3,81.9,112.2,80.0,109.3,507.4,6.0,41.9037528,-87.63558845
5968,2018,105478,6230 N Kenmore,6230 N. Kenmore Ave.,4.0,False,EDGEWATER,Multifamily Housing,135000.0,1947.0,1749741.8,8762746.3,77.9,104.4,79.8,105.9,756.5,5.6,41.99090057,-87.66660744
5974,2018,133242,The Royalton Towers Condominium Association,1444 N. Orleans St.,4.0,False,NEAR NORTH SIDE,Multifamily Housing,133920.0,2002.0,1078130.6,3436894.7,33.7,49.5,32.9,47.8,361.9,2.7,41.9037528,-87.63558845
5977,2018,172114,Latin School of Chicago Upper School,59 W. North BLVD,1.0,False,NEAR NORTH SIDE,K-12 School,151751.0,1969.0,7324724.6,10570160.3,117.9,208.3,119.1,209.5,1780.0,11.7,41.91076436,-87.63123869
5990,2018,137704,Vranas and Assoc. (346 N. Justine St.),346 N. Justine,4.0,False,NEAR WEST SIDE,Office,91680.0,1915.0,1720026.7,3543291.1,57.4,93.1,55.1,89.5,474.4,5.2,41.88803513,-87.66592206
5991,2018,228537,201 E. Chestnut St.,201 E. Chestnut Street,2.0,False,NEAR NORTH SIDE,Multifamily Housing,211080.0,1967.0,9608055.5,4088917.7,64.9,147.8,63.6,144.7,1815.6,8.6,41.89810086,-87.62158078
5995,2018,254114,HRTL - Town Hall: 3600 N Halsted,3600 North Halsted Street,1.0,False,Lake View,Multifamily Housing,92072.0,2014.0,3202104.0,7299426.0,114.1,180.6,115.3,181.9,920.4,10.0,41.9474017,-87.64964
6004,2018,254568,Madison Aberdeen,3 N Aberdeen St,4.0,False,NEAR WEST SIDE,Multifamily Housing,84051.0,2013.0,2240774.0,2113018.9,51.8,101.0,51.4,100.6,485.0,5.8,41.87987598,-87.65468643
6005,2018,256247,63029-Sunrise of Lincoln Park,2710 North Clark St,1.5,False,LINCOLN PARK,Senior Care Community,50000.0,2003.0,2881344.9,4752369.8,152.7,261.2,152.1,260.6,731.8,14.6,41.922195,-87.64960715
6010,2018,103812,400 W. Superior,400-432 W. SUPERIOR STREET,3.0,False,NEAR NORTH SIDE,Office,130007.0,1998.0,6231659.7,1665521.9,60.7,147.7,59.7,145.2,1125.2,8.7,41.89575232,-87.638901
6016,2018,254054,2 South Leavitt Condominium Association,2 S. Leavitt St.,4.0,False,NEAR WEST SIDE,Multifamily Housing,55000.0,2008.0,871374.3,1670738.4,46.2,76.3,46.2,76.3,233.7,4.2,41.88120092,-87.68664215
6018,2018,251360,Armour Eleme-CPS,950 W 33rd Place,4.0,False,BRIDGEPORT,K-12 School,112995.0,2014.0,1142377.5,3915282.1,44.8,64.7,45.1,65.2,398.0,3.5,41.83408724,-87.65006375
6021,2018,132870,Chatham Ridge Shopping Center,112 W 87th Street,2.0,False,CHATHAM,Strip Mall,148378.0,1989.0,12910141.4,2493077.5,103.8,261.3,103.2,261.2,2280.2,15.4,41.73773153,-87.62818622
6026,2018,237384,The Maple Tower Condominium Association,1035 N. Dearborn St.,2.5,False,NEAR NORTH SIDE,Multifamily Housing,111748.0,2005.0,4553525.5,2468863.8,62.8,137.3,62.1,134.9,888.7,8.0,41.90163587,-87.62949064
6027,2018,160142,U.S. Cellular Plaza - 8430 _ Goby LLC,8430 West Bryn Mawr Avenue,3.0,False,OHARE,Office,200150.0,1981.0,12392899.2,,61.9,173.4,61.9,173.4,2061.7,10.3,41.981131,-87.837979
6032,2018,175473,Ashland Devon Chicago Equities LLP,6748 N Ashland Ave,1.0,False,ROGERS PARK,Multifamily Housing,70000.0,1927.0,744157.2,7909597.1,123.6,148.4,119.5,143.0,543.9,7.8,42.01036185,-87.66829765
6033,2018,158336,"Fairmont Chicago, Millennium Park",200 N Columbus Dr,4.0,False,LOOP,Hotel,700000.0,1987.0,15897108.5,15897769.6,45.4,87.4,45.4,87.4,3489.1,5.0,41.88613315,-87.62132377
6036,2018,243776,1150 Condominium Association,1150 N. Lake Shore Dr,2.0,False,NEAR NORTH SIDE,Multifamily Housing,241500.0,1957.0,5234407.2,18926930.1,100.0,143.0,100.4,141.4,1876.1,7.8,41.90369999,-87.62492429
6039,2018,244102,River City - 800 South Wells,800 South Wells,4.0,False,LOOP,Multifamily Housing,993312.0,1986.0,31617959.9,30241698.9,62.3,121.1,61.8,120.6,6866.4,6.9,41.87141897,-87.63422224
6040,2018,243278,253 East Delaware Condominium Association,253 E Delaware Place,3.0,False,NEAR NORTH SIDE,Multifamily Housing,208630.0,1957.0,2340980.0,16066454.5,88.2,112.3,89.6,113.6,1242.8,6.0,41.89901011,-87.61993421
6042,2018,244613,Fairbanks at Cityfront Plaza,240 E Illinois,2.5,False,NEAR NORTH SIDE,Multifamily Housing,449954.0,2006.0,13320731.2,25113990.9,85.4,141.5,84.1,139.7,3550.0,7.9,41.89139925,-87.62079715
6044,2018,132117,HOME DEPOT,200 w. 87th st,2.0,False,CHATHAM,Retail Store,128000.0,1996.0,6931853.3,5757299.6,99.1,198.9,97.0,196.5,1459.0,11.4,41.73721633,-87.63117106
6045,2018,104635,"Wolcott Corners, L.L.C.",1900-1912 W. Pratt Blvd.,2.0,False,ROGERS PARK,Multifamily Housing,65128.0,1929.0,595551.0,5192893.8,88.9,109.3,91.3,110.8,374.9,5.8,42.01036185,-87.66829765
6052,2018,250057,ENGLEWOOD HEALTH CENTER,641 W. 63rd St.,1.0,False,ENGLEWOOD,Outpatient Rehabilitation/Physical Therapy,54189.0,1972.0,2974500.1,3298521.7,115.8,217.6,115.9,217.5,670.1,12.4,41.77978303,-87.64124974
6055,2018,118695,260-Senior Suites of Bridgeport,2825 S. Halsted,4.0,False,BRIDGEPORT,Senior Care Community,69455.0,2005.0,1954178.6,4199700.2,88.6,142.3,88.4,141.4,548.2,7.9,41.84915346,-87.67089596
6056,2018,251774,St. Ailbe Faith & St. Ailbe Love Apartments,1244 E. 93rd Street,3.0,False,BURNSIDE,Multifamily Housing,178647.0,2000.0,2482782.7,8662517.8,62.4,89.8,63.4,91.0,873.2,4.9,41.72509928,-87.65454095
6067,2018,160286,Rosenwald Courts,4648 South Michigan Avenue,4.0,False,GRAND BOULEVARD,Multifamily Housing,220083.0,1936.0,4202819.7,2242185.7,29.3,64.2,27.4,59.6,818.3,3.7,41.81028171,-87.62440902
6068,2018,172129,73 East Elm Street Condominium Association,73 E Elm St,2.0,False,NEAR NORTH SIDE,Multifamily Housing,97403.0,1930.0,1294720.9,7210317.3,87.3,114.9,88.0,115.1,598.4,6.1,41.89579275,-87.62247957
6069,2018,254016,Prete Apartments,"5801 N. Pulaski Rd., Bldg. E",3.0,False,North Park,Residential Care Facility,55866.0,1991.0,2059571.9,2750398.4,86.1,154.9,86.3,152.1,488.7,8.7,41.9995854,-87.77148
6071,2018,253951,18th Street Lofts,1801 S Michigan Avenue,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,67722.0,1998.0,1452235.9,2568796.0,59.4,99.9,58.7,97.8,378.0,5.6,41.84550365,-87.63055693
6073,2018,254151,Astor Villa Condominium Association,1430 N Astor,4.0,False,Near North Side,Multifamily Housing,111150.0,1976.0,4496292.7,1387152.0,52.9,126.4,51.7,122.8,821.7,7.4,41.9086825,-87.62773
6074,2018,160453,Halsted Flats,3740 N. Halsted St.,1.0,False,LAKE VIEW,Multifamily Housing,229029.0,2014.0,11251725.1,10527663.7,95.1,185.8,95.2,185.9,2431.1,10.6,41.950426,-87.649507
6075,2018,175371,Renaissance Lofts,1783-1791 W. Howard,1.0,False,ROGERS PARK,Multifamily Housing,50500.0,1936.0,1784035.9,3209500.1,98.9,165.6,97.3,164.0,467.3,9.3,42.01036185,-87.66829765
6076,2018,158472,Metropolis,8 West Monroe Street,1.5,False,LOOP,Multifamily Housing,218624.0,2006.0,9221349.7,9144534.8,84.0,162.0,83.1,161.1,2019.8,9.2,41.88095952,-87.6277973
6077,2018,252040,Kersten Physics Teaching Center,5720 South Ellis Avenue,3.0,False,HYDE PARK,College/University,59287.0,1985.0,1423728.7,,155.3,220.9,155.1,220.7,741.8,12.5,41.79106711,-87.60164712
6078,2018,173754,422 West Melrose,422 - 424 West Melrose Street,4.0,False,LAKE VIEW,Multifamily Housing,164485.0,1926.0,1291428.4,12774520.9,85.5,103.5,86.9,104.9,893.4,5.4,41.9398511,-87.65844752
6086,2018,243190,2 East Erie,2 East Erie Street,1.0,False,NEAR NORTH SIDE,Multifamily Housing,398623.0,2002.0,15030627.7,18739171.9,92.1,161.7,92.6,161.6,,,41.89434735,-87.62771988
6091,2018,134136,Jenkins Hall 171 W. Oak,171 W. Oak,4.0,False,NEAR NORTH SIDE,College/University,164122.0,1977.0,2146615.4,9481299.6,70.8,97.3,71.2,97.7,860.7,5.2,41.9037528,-87.63558845
6092,2018,172540,Willa Rawls Manor Apartments,4120 S Indiana Ave,3.5,False,GRAND BOULEVARD,Multifamily Housing,122111.0,1980.0,4090657.0,3389358.6,61.3,122.9,61.2,121.7,860.6,7.0,41.82021138,-87.61246867
6093,2018,158668,Edith Spurlock Sampson Apts,2720 N. Sheffield Ave,1.5,False,LINCOLN PARK,Multifamily Housing,156471.0,1968.0,4884759.1,20269809.3,160.8,223.4,161.7,224.4,1889.3,12.1,41.93174258,-87.65422701
6098,2018,160354,Asbury Plaza Venture LLLP,750 N. Dearborn,2.0,False,NEAR NORTH SIDE,Multifamily Housing,356989.0,1981.0,7755428.2,28308773.2,101.0,144.1,102.1,144.6,2793.8,7.8,41.896027,-87.629782
6106,2018,127068,Halsted Plaza,801- 831 W. 119th St.,1.0,False,WEST PULLMAN,Strip Mall,59847.0,1964.0,2132087.1,1440401.5,59.7,125.0,56.9,119.8,431.2,7.2,41.67776705,-87.64341842
6112,2018,160105,Wyndham Grand Chicago,63-71 East Wacker,4.0,False,LOOP,Hotel,417800.0,1960.0,12356312.3,20461499.3,101.1,154.7,101.4,155.2,3638.1,8.7,41.88737377,-87.62565442
6115,2018,234897,55 East Erie Condominium Association,55 East Erie Street,1.0,False,NEAR NORTH SIDE,Multifamily Housing,546349.0,2003.0,27453559.3,17570346.2,103.5,193.7,102.4,190.5,,,41.89394834,-87.6261195
6117,2018,251764,Parkside Nine II,544 W Oak,4.0,False,NEAR NORTH SIDE,Multifamily Housing,140628.0,2011.0,3099549.5,6516741.9,68.4,110.4,66.6,106.4,861.8,6.1,41.90045766,-87.64172846
6123,2018,173708,2756-64 N. Pine Grove Ave.,2756-64 N. Pine Grove Ave.,1.5,False,LINCOLN PARK,Multifamily Housing,133560.0,1925.0,1910423.2,12550647.6,108.3,138.7,105.0,133.8,984.5,7.4,41.92201051,-87.65461957
6141,2018,100448,Hilton Chicago MM Suites,198 East Delaware Place,3.0,False,NEAR NORTH SIDE,Hotel,314850.0,1989.0,14351138.1,25018299.6,125.0,211.1,125.2,211.2,3716.4,11.8,41.89956332,-87.62215183
6151,2018,107939,Kenmore,5040 N Kenmore Ave,1.5,False,UPTOWN,Multifamily Housing,90528.0,2010.0,3000154.9,4552866.8,83.4,145.6,83.8,146.0,740.9,8.2,41.97223008,-87.6645957
6156,2018,119685,ECD Streeterville Hotel LLC,216 E. Ontario,1.0,False,NEAR NORTH SIDE,Hotel,89000.0,2001.0,5992778.8,3429610.3,105.9,229.0,104.5,224.6,1179.1,13.2,41.89579275,-87.62247957
6157,2018,105695,Dearborn I LLC,1036 N Dearborn St,2.5,False,NEAR NORTH SIDE,Multifamily Housing,72115.0,1929.0,3259190.5,1820739.6,70.4,153.1,69.2,149.4,638.9,8.9,41.9037528,-87.63558845
6180,2018,128321,Linden House of Chicago,2315 W. LeMoyne Ave.,2.5,False,WEST TOWN,Multifamily Housing,76497.0,1992.0,2169490.2,4164619.7,82.8,136.6,82.9,136.6,582.1,7.6,41.90225377,-87.68447845
6182,2018,157599,Dearborn Tower Condominium Association,1530 S. State St.,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,737110.0,2001.0,10959466.8,22323121.1,45.2,73.4,45.9,73.4,3009.0,4.1,41.86096129,-87.6280798
6188,2018,251725,Sauganash El-CPS,6040 N KILPATRICK AVE,1.5,False,FOREST GLEN,K-12 School,68612.0,1936.0,2164526.4,3345125.4,80.3,139.5,78.8,137.1,537.8,7.8,41.99145243,-87.74621419
6191,2018,251321,1150 West Fullerton Building,1150 W. Fullerton,3.0,False,LINCOLN PARK,College/University,52043.0,1994.0,2004089.4,1853575.0,74.1,145.2,73.2,144.8,431.9,8.3,41.92559618,-87.65814781
6192,2018,251265,3150 N Sheridan,3150 North Sheridan Road,2.5,False,LAKE VIEW,Multifamily Housing,227900.0,1974.0,8456706.8,2520199.9,48.2,115.5,46.5,110.7,1540.8,6.8,41.93922563,-87.63986123
6195,2018,254364,HYP-Loop-Chicago,28 N. Franklin St.,3.0,False,Loop,Hotel,142321.0,2015.0,5617182.4,9595099.6,106.9,181.3,107.6,181.9,1444.1,10.1,41.88319104,-87.63527825
6197,2018,243916,2930 Sheridan Tower Condominium Association,2930 N. Sheridan Rd.,2.5,False,LAKE VIEW,Multifamily Housing,242000.0,1956.0,5801669.3,15624235.8,88.5,134.9,86.2,132.4,1795.1,7.4,41.93523897,-87.63972431
6202,2018,171886,North & Talman Elderly Apartments,1600 N Talman,3.5,False,WEST TOWN,Multifamily Housing,60000.0,2008.0,1099445.0,2966100.1,67.8,103.2,67.6,102.2,340.5,5.7,41.92075046,-87.70152825
6203,2018,101950,332 Property LLC,332 South Michigan Ave.,2.5,False,LOOP,Office,529401.0,1910.0,18482084.1,31711096.2,94.8,160.6,95.6,161.5,4759.1,9.0,41.87724917,-87.6247034
6214,2018,158380,Monroe Building,104 S Michigan Avenue,4.0,False,LOOP,Office,243166.0,1912.0,12582507.5,11435159.8,98.8,194.3,99.4,194.8,2700.7,11.1,41.88064983,-87.62495547
6216,2018,101713,Aon Center,200 E. Randolph Street,4.0,False,LOOP,Office,3193966.0,1972.0,116379976.2,100591184.2,93.8,158.6,93.0,157.9,29059.2,9.1,41.88529085,-87.62152084
6217,2018,254978,Cubs Office Building,1101 West Waveland Ave,4.0,False,Lake View,Office,247887.0,2017.0,5074606.2,2233137.0,29.5,66.8,29.5,66.8,962.8,3.9,41.9489475,-87.65701158
6222,2018,160425,Chestnut Place Apartments,850 N.State Street,3.5,False,NEAR NORTH SIDE,Multifamily Housing,257712.0,1982.0,10630147.4,3033210.2,53.0,127.9,52.0,125.5,1929.6,7.5,41.89836069,-87.62862299
6228,2018,102238,Park West Condominium,444 W Fullerton,1.0,False,LINCOLN PARK,Multifamily Housing,192329.0,1971.0,6027758.6,21878832.3,145.1,207.2,145.9,205.7,2164.9,11.3,41.92554767,-87.64131151
6229,2018,255743,Burnham Pointe,730 S Clark St,1.0,False,LOOP,Multifamily Housing,429120.0,2008.0,16480226.1,53265815.6,162.5,237.9,164.4,239.8,5570.9,13.0,41.86815,-87.62702
6231,2018,251226,325 West Huron Street,325 West Huron Street,4.0,False,NEAR NORTH SIDE,Office,150246.0,1920.0,4106911.8,6671520.0,71.7,123.2,71.9,123.0,1037.6,6.9,41.89472315,-87.63667041
6237,2018,117024,(IL373) - Bucktown Park Condominium Association,1830 N. Wincheter #317,4.0,False,LOGAN SQUARE,Multifamily Housing,73000.0,1994.0,1345837.1,1748304.0,42.4,76.8,42.4,76.8,316.8,4.3,41.90225377,-87.68447845
6241,2018,105820,Quality Inn Midway Airport,7353 S. Cicero Ave.,1.5,False,WEST LAWN,Hotel,86770.0,1969.0,5441345.0,5039871.1,120.8,236.6,119.6,235.4,1172.9,13.5,41.77517105,-87.71389848
6243,2018,105150,Baric Properties,1533 W Jarvis Ave,3.0,False,ROGERS PARK,Multifamily Housing,68955.0,1970.0,949679.0,5416525.5,92.3,121.0,90.0,117.6,445.7,6.5,42.01036185,-87.66829765
6247,2018,114291,2912 Condominium Association,2912-2914 N. Commonwealth Ave.,3.5,False,LAKE VIEW,Multifamily Housing,59677.0,1926.0,752564.4,5156881.0,99.0,126.0,99.9,126.0,399.1,6.7,41.9398511,-87.65844752
6249,2018,105936,14 West Elm Apartments,14 W Elm St,4.0,False,NEAR NORTH SIDE,Multifamily Housing,127425.0,1930.0,1738451.5,8081350.5,77.1,104.8,77.0,104.3,718.5,5.6,41.9037528,-87.63558845
6250,2018,231536,Neapolitan,1212 N Wells,1.0,False,NEAR NORTH SIDE,Multifamily Housing,117760.0,2001.0,4466908.5,7454199.9,101.2,172.7,97.5,166.4,1139.1,9.7,41.90436982,-87.63501568
6252,2018,160336,Congressman George Collins Apartments,1401 S. Blue Island Ave.,2.0,False,NEAR WEST SIDE,Multifamily Housing,138304.0,1981.0,6589216.9,,47.6,133.4,46.5,130.2,1096.2,7.9,41.86302485,-87.65535755
6261,2018,243692,5445 Edgewater Plaza Condominium Association,5445 N. Sheridan Rd.,1.0,False,EDGEWATER,Multifamily Housing,425474.0,1971.0,11396172.1,43465883.3,128.9,182.3,130.2,182.4,4204.6,9.9,41.98108553,-87.65453412
6262,2018,136212,Harris School,1155 East 60th St,3.0,False,WOODLAWN,College/University,185815.0,1954.0,11634643.6,,88.2,206.1,87.4,204.9,2251.0,12.1,41.78539914,-87.59716197
6265,2018,102487,Pine Grove Apartments,3639 N. Pine Grove,2.0,False,LAKE VIEW,Multifamily Housing,100338.0,1968.0,2079921.1,9887356.7,119.3,161.5,120.6,162.9,871.2,8.7,41.95402016,-87.6620278
6273,2018,157919,North Park Village Apartments,"5801 N. Pulaski Rd., Bldg. H",4.0,False,NORTH PARK,Residential Care Facility,275000.0,1913.0,10124652.8,6694642.4,61.2,128.6,59.4,123.8,2040.0,7.4,41.98580055,-87.72846172
6276,2018,250151,NMH Worcester House,244 East Pearson,4.0,False,NEAR NORTH SIDE,Multifamily Housing,139382.0,1926.0,6211047.8,3801634.6,71.8,153.4,71.2,151.4,1235.2,8.9,41.89796335,-87.61992116
6283,2018,102285,Advocate Illinois Masonic Medical Center,836 W. Wellington Avenue,4.0,False,LAKE VIEW,Hospital (General Medical & Surgical),1335452.0,1908.0,71146512.2,122673837.2,145.1,245.6,146.1,246.4,18352.0,13.7,41.93678761,-87.65090588
6292,2018,244099,Trump,401 N. Wabash,1.0,False,NEAR NORTH SIDE,Mixed Use Property,2125888.0,2008.0,134708489.6,24733783.4,75.0,189.6,,,23724.4,11.2,41.88888345,-87.62643917
6297,2018,254012,Ellis Street Apartments,4721-4729 S Ellis Street,3.5,False,Kenwood,Multifamily Housing,62352.0,1922.0,350497.7,5543500.0,94.5,109.1,96.1,110.5,352.8,5.7,41.8022432,-87.60352
6305,2018,158414,Old Republic Building,301 317 N. Michigan Ave.,3.0,False,LOOP,Office,219636.0,1925.0,8455748.1,10492880.0,86.3,158.0,84.6,156.8,1964.1,8.9,41.88709131,-87.62418563
6311,2018,252054,"Rockefeller,Mitchell,Reynolds,Hutchinson,Zoology,Erman,Mandel,Oriental,Pres.Home",5850 South Woodlawn Avenue,1.0,False,HYDE PARK,College/University,341130.0,1928.0,17242408.9,1992790.0,155.1,262.7,153.2,260.5,5150.4,15.1,41.78921164,-87.5964353
6328,2018,251888,Young Elemen-CPS,1434 N PARKSIDE AVE,1.0,False,AUSTIN,K-12 School,177004.0,1926.0,4476312.0,14029895.1,104.6,154.0,101.0,150.3,1489.9,8.4,41.90595742,-87.76786207
6329,2018,238957,2626 Lakeview Condominium,2626 North Lakeview,4.0,False,LINCOLN PARK,Multifamily Housing,787000.0,1967.0,11824002.8,42667107.6,69.2,99.0,70.0,99.3,4233.3,5.4,41.93028033,-87.63999004
6330,2018,111157,3963 W. Belmont,3963 W. Belmont Avenue,1.0,False,AVONDALE,Multifamily Housing,250000.0,1924.0,5934187.9,14243444.8,80.7,126.3,79.1,124.5,1743.8,7.0,41.94672055,-87.70319673
6338,2018,255021,Building - School,3300 W. Ogden Ave.,1.0,False,North Lawndale,K-12 School,63000.0,2017.0,3764739.4,564399.9,68.7,176.7,,,656.3,10.4,41.85715362,-87.7079309
